CountyName ,Race/Ethnicity,PeopleVaccinated,PeopleFullyVaccinated,TotalVaccinations,CountyNames
Brewster,Black,31,21,48,Brewster
Brewster,Hispanic,2054,1720,3802,Brewster
Brewster,Other,462,370,919,Brewster
Brewster,Unknown,520,424,911,Brewster
Brewster,White,2357,2100,4567,Brewster
Briscoe,Black,13,13,26,Briscoe
Briscoe,Hispanic,129,118,245,Briscoe
Briscoe,Other,73,62,152,Briscoe
Briscoe,Unknown,18,14,34,Briscoe
Briscoe,White,411,371,842,Briscoe
Brooks,Asian,10,10,20,Brooks
Brooks,Black,6,5,11,Brooks
Brooks,Hispanic,2942,2610,5570,Brooks
Brooks,Other,283,234,551,Brooks
Brooks,Unknown,142,112,256,Brooks
Brooks,White,1282,1120,2485,Brooks
Brown,Asian,119,112,210,Brown
Brown,Black,404,362,691,Brown
Brown,Hispanic,2610,2286,4573,Brown
Brown,Other,2814,2525,5063,Brown
Brown,Unknown,2021,1855,3243,Brown
Brown,White,7699,7012,13476,Brown
Burleson,Asian,52,48,95,Burleson
Burleson,Black,909,831,1690,Burleson
Burleson,Hispanic,1209,1085,2235,Burleson
Burleson,Other,870,798,1741,Burleson
Burleson,Unknown,679,512,1099,Burleson
Burleson,White,5274,4831,10073,Burleson
Burnet,Asian,253,223,469,Burnet
Burnet,Black,322,262,560,Burnet
Burnet,Hispanic,3231,2778,5821,Burnet
Burnet,Other,4656,4180,9511,Burnet
Burnet,Unknown,1341,1122,2270,Burnet
Burnet,White,15939,14257,30364,Burnet
Caldwell,Asian,112,103,215,Caldwell
Caldwell,Black,771,683,1461,Caldwell
Caldwell,Hispanic,9310,7786,16982,Caldwell
Caldwell,Other,4263,3698,8180,Caldwell
Caldwell,Unknown,2667,2203,4622,Caldwell
Caldwell,White,7854,7009,14813,Caldwell
Calhoun,Asian,686,640,1212,Calhoun
Calhoun,Black,198,167,364,Calhoun
Calhoun,Hispanic,4659,4045,8457,Calhoun
Calhoun,Other,1218,1133,2288,Calhoun
Calhoun,Unknown,626,499,1107,Calhoun
