ObjectId,Category,Category_Description,General_Population,At_Least_One_Dose,Fully_Vaccinated,Note,Date
315,5Cat Age Groups,65+,264903,248047,198935,"VA data included, DOD data not included",2021/08/17 05:00:00+00
316,Gender,Female,769303,655162,543514,"VA data included, DOD data not included",2021/08/17 05:00:00+00
317,Gender,Male,736913,588973,451620,"VA data included, DOD data not included",2021/08/17 05:00:00+00
318,Gender,Other,,212,186,"VA data included, DOD data not included",2021/08/17 05:00:00+00
319,Gender,Unknown,,2462,2011,"VA data included, DOD data not included",2021/08/17 05:00:00+00
320,Race/Ethnicity,Hispanic,906742,541695,440872,"VA data included, DOD data not included",2021/08/17 05:00:00+00
321,Race/Ethnicity,NH White,417222,352622,288006,"VA data included, DOD data not included",2021/08/17 05:00:00+00
322,Race/Ethnicity,NH Asian,43680,32606,28290,"VA data included, DOD data not included",2021/08/17 05:00:00+00
323,Race/Ethnicity,NH Black,115979,54782,38994,"VA data included, DOD data not included",2021/08/17 05:00:00+00
324,Race/Ethnicity,NH Other,24099,168646,134033,"VA data included, DOD data not included",2021/08/17 05:00:00+00
325,Race/Ethnicity,Unknown,,96458,67136,"VA data included, DOD data not included",2021/08/17 05:00:00+00
326,MultiCat Age Groups,15-Dec,109159,59016,38378,VA and DOD data not included,2021/08/17 05:00:00+00
327,MultiCat Age Groups,16-18,80937,53315,39846,VA and DOD data not included,2021/08/17 05:00:00+00
328,MultiCat Age Groups,19-29,,196816,155870,VA and DOD data not included,2021/08/17 05:00:00+00
329,MultiCat Age Groups,30-39,,194814,159569,VA and DOD data not included,2021/08/17 05:00:00+00
330,MultiCat Age Groups,40-49,,193267,162418,VA and DOD data not included,2021/08/17 05:00:00+00
331,MultiCat Age Groups,50-59,,190928,165101,VA and DOD data not included,2021/08/17 05:00:00+00
332,MultiCat Age Groups,60-64,,87521,77195,VA and DOD data not included,2021/08/17 05:00:00+00
333,MultiCat Age Groups,65-75,,145568,130141,VA and DOD data not included,2021/08/17 05:00:00+00
334,MultiCat Age Groups,76-85,,58070,51495,VA and DOD data not included,2021/08/17 05:00:00+00
335,MultiCat Age Groups,86-95,,18320,15946,VA and DOD data not included,2021/08/17 05:00:00+00
336,MultiCat Age Groups,96+,,1659,1353,VA and DOD data not included,2021/08/17 05:00:00+00
337,5Cat Age Groups,12+,1672349,1391530,1121458,VA and DOD data included,2021/08/24 05:00:00+00
338,5Cat Age Groups,16+,1552823,1328845,1079892,VA and DOD data included,2021/08/24 05:00:00+00
339,5Cat Age Groups,18+,1511890,1292502,1052990,VA and DOD data included,2021/08/24 05:00:00+00
340,5Cat Age Groups,18-49,898710,616243,501460,VA and DOD data included,2021/08/24 05:00:00+00
341,5Cat Age Groups,50-64,336785,294907,245134,"VA data included, DOD data not included",2021/08/24 05:00:00+00
342,5Cat Age Groups,65+,264903,249754,200532,"VA data included, DOD data not included",2021/08/24 05:00:00+00
343,Gender,Female,769303,666304,552630,"VA data included, DOD data not included",2021/08/24 05:00:00+00
344,Gender,Male,736913,600649,460789,"VA data included, DOD data not included",2021/08/24 05:00:00+00
345,Gender,Other,,211,187,"VA data included, DOD data not included",2021/08/24 05:00:00+00
346,Gender,Unknown,,2457,2006,"VA data included, DOD data not included",2021/08/24 05:00:00+00
347,Race/Ethnicity,Hispanic,906742,549962,448775,"VA data included, DOD data not included",2021/08/24 05:00:00+00
348,Race/Ethnicity,NH White,417222,358550,291887,"VA data included, DOD data not included",2021/08/24 05:00:00+00
349,Race/Ethnicity,NH Asian,43680,32857,28497,"VA data included, DOD data not included",2021/08/24 05:00:00+00
350,Race/Ethnicity,NH Black,115979,55833,39801,"VA data included, DOD data not included",2021/08/24 05:00:00+00
351,5Cat Age Groups,50-64,320289,240346,192538,VA and DOD data not included,2021/05/27 05:00:00+00
352,5Cat Age Groups,65+,247843,217473,167856,VA and DOD data not included,2021/05/27 05:00:00+00
353,Gender,Female,769303,499306,399090,"VA data included, DOD data not included",2021/05/27 05:00:00+00
354,Gender,Male,736913,435214,317118,"VA data included, DOD data not included",2021/05/27 05:00:00+00
355,Gender,Other,,201,158,"VA data included, DOD data not included",2021/05/27 05:00:00+00
356,Gender,Unknown,,2302,1944,"VA data included, DOD data not included",2021/05/27 05:00:00+00
357,Race/Ethnicity,Hispanic,906742,407718,316594,"VA data included, DOD data not included",2021/05/27 05:00:00+00
358,Race/Ethnicity,NH White,417222,282439,224536,"VA data included, DOD data not included",2021/05/27 05:00:00+00
359,Race/Ethnicity,NH Asian,43680,25708,20728,"VA data included, DOD data not included",2021/05/27 05:00:00+00
360,Race/Ethnicity,NH Black,115979,39731,26211,"VA data included, DOD data not included",2021/05/27 05:00:00+00
361,Race/Ethnicity,NH Other,24099,94363,70707,"VA data included, DOD data not included",2021/05/27 05:00:00+00
362,Race/Ethnicity,Unknown,,87064,59534,"VA data included, DOD data not included",2021/05/27 05:00:00+00
363,5Cat Age Groups,12+,1661614,1073367,834259,VA and DOD data included,2021/06/01 05:00:00+00
364,5Cat Age Groups,16+,1552823,1050796,834205,VA and DOD data included,2021/06/01 05:00:00+00
365,5Cat Age Groups,18+,1450476,1030011,820444,VA and DOD data included,2021/06/01 05:00:00+00
366,5Cat Age Groups,18-49,898710,455493,363599,VA and DOD data included,2021/06/01 05:00:00+00
367,5Cat Age Groups,50-64,320289,245861,198857,"VA data included, DOD data not included",2021/06/01 05:00:00+00
368,5Cat Age Groups,65+,247843,220070,170823,"VA data included, DOD data not included",2021/06/01 05:00:00+00
369,Gender,Female,769303,516743,413172,"VA data included, DOD data not included",2021/06/01 05:00:00+00
370,Gender,Male,736913,452693,331764,"VA data included, DOD data not included",2021/06/01 05:00:00+00
371,Gender,Other,,210,177,"VA data included, DOD data not included",2021/06/01 05:00:00+00
372,Gender,Unknown,,2633,1982,"VA data included, DOD data not included",2021/06/01 05:00:00+00
373,Race/Ethnicity,Hispanic,906742,421335,327438,"VA data included, DOD data not included",2021/06/01 05:00:00+00
374,Race/Ethnicity,NH White,417222,291895,233837,"VA data included, DOD data not included",2021/06/01 05:00:00+00
375,Race/Ethnicity,NH Asian,43680,26572,21487,"VA data included, DOD data not included",2021/06/01 05:00:00+00
376,Race/Ethnicity,NH Black,115979,41443,27707,"VA data included, DOD data not included",2021/06/01 05:00:00+00
377,Race/Ethnicity,NH Other,24099,102239,76315,"VA data included, DOD data not included",2021/06/01 05:00:00+00
378,Race/Ethnicity,Unknown,,88795,60311,"VA data included, DOD data not included",2021/06/01 05:00:00+00
379,MultiCat Age Groups,15-Dec,,22571,54,VA and DOD data not included,2021/06/01 05:00:00+00
380,MultiCat Age Groups,16-18,,33110,22797,VA and DOD data not included,2021/06/01 05:00:00+00
381,MultiCat Age Groups,19-29,,142150,109927,VA and DOD data not included,2021/06/01 05:00:00+00
382,MultiCat Age Groups,30-39,,147564,119037,VA and DOD data not included,2021/06/01 05:00:00+00
383,MultiCat Age Groups,40-49,,153454,125599,VA and DOD data not included,2021/06/01 05:00:00+00
384,MultiCat Age Groups,50-59,,158969,133821,VA and DOD data not included,2021/06/01 05:00:00+00
385,MultiCat Age Groups,60-64,,75629,65036,VA and DOD data not included,2021/06/01 05:00:00+00
386,MultiCat Age Groups,65-75,,130345,114034,VA and DOD data not included,2021/06/01 05:00:00+00
387,MultiCat Age Groups,76-85,,51640,44034,VA and DOD data not included,2021/06/01 05:00:00+00
388,MultiCat Age Groups,86-95,,14974,11963,VA and DOD data not included,2021/06/01 05:00:00+00
389,MultiCat Age Groups,96+,,1146,792,VA and DOD data not included,2021/06/01 05:00:00+00
390,5Cat Age Groups,12+,1661614,1093120,858012,VA and DOD data included,2021/06/08 05:00:00+00
391,5Cat Age Groups,16+,1552823,1067237,852352,VA and DOD data included,2021/06/08 05:00:00+00
392,5Cat Age Groups,18+,1450476,1045526,837630,VA and DOD data included,2021/06/08 05:00:00+00
393,5Cat Age Groups,18-49,898710,464129,373879,VA and DOD data included,2021/06/08 05:00:00+00
394,5Cat Age Groups,50-64,320289,248539,202089,"VA data included, DOD data not included",2021/06/08 05:00:00+00
395,5Cat Age Groups,65+,247843,221579,172528,"VA data included, DOD data not included",2021/06/08 05:00:00+00
396,Gender,Female,769303,525280,424079,"VA data included, DOD data not included",2021/06/08 05:00:00+00
397,Gender,Male,736913,461416,342631,"VA data included, DOD data not included",2021/06/08 05:00:00+00
398,Gender,Other,,211,178,"VA data included, DOD data not included",2021/06/08 05:00:00+00
399,Gender,Unknown,,2652,1992,"VA data included, DOD data not included",2021/06/08 05:00:00+00
400,Race/Ethnicity,Hispanic,906742,428692,337253,"VA data included, DOD data not included",2021/06/08 05:00:00+00
401,MultiCat Age Groups,60-64,,90727,81131,VA and DOD data not included,2021/09/22 05:00:00+00
402,MultiCat Age Groups,65-75,,150187,135278,VA and DOD data not included,2021/09/22 05:00:00+00
403,MultiCat Age Groups,76-85,,59975,53431,VA and DOD data not included,2021/09/22 05:00:00+00
404,MultiCat Age Groups,86-95,,19023,16645,VA and DOD data not included,2021/09/22 05:00:00+00
405,MultiCat Age Groups,96+,,1753,1430,VA and DOD data not included,2021/09/22 05:00:00+00
406,5Cat Age Groups,12+,1672349,1492099,1240394,VA and DOD data included,2021/09/29 05:00:00+00
407,5Cat Age Groups,16+,1552823,1420892,1184077,VA and DOD data included,2021/09/29 05:00:00+00
408,5Cat Age Groups,18+,1511890,1380904,1151465,VA and DOD data included,2021/09/29 05:00:00+00
409,5Cat Age Groups,18-49,898710,660491,557622,VA and DOD data included,2021/09/29 05:00:00+00
410,5Cat Age Groups,50-64,336785,310098,259008,"VA data included, DOD data not included",2021/09/29 05:00:00+00
411,5Cat Age Groups,65+,264903,263288,208266,"VA data included, DOD data not included",2021/09/29 05:00:00+00
412,Gender,Female,769303,704820,601643,"VA data included, DOD data not included",2021/09/29 05:00:00+00
413,Gender,Male,736913,653926,510059,"VA data included, DOD data not included",2021/09/29 05:00:00+00
414,Gender,Other,,208,185,"VA data included, DOD data not included",2021/09/29 05:00:00+00
415,Gender,Unknown,,2367,1938,"VA data included, DOD data not included",2021/09/29 05:00:00+00
416,Race/Ethnicity,Hispanic,906742,581495,486181,"VA data included, DOD data not included",2021/09/29 05:00:00+00
417,Race/Ethnicity,NH White,417222,379971,311993,"VA data included, DOD data not included",2021/09/29 05:00:00+00
418,Race/Ethnicity,NH Asian,43680,33323,29222,"VA data included, DOD data not included",2021/09/29 05:00:00+00
419,Race/Ethnicity,NH Black,115979,61503,43844,"VA data included, DOD data not included",2021/09/29 05:00:00+00
420,Race/Ethnicity,NH Other,24099,210967,178877,"VA data included, DOD data not included",2021/09/29 05:00:00+00
421,Race/Ethnicity,Unknown,,94062,63708,"VA data included, DOD data not included",2021/09/29 05:00:00+00
422,MultiCat Age Groups,15-Dec,109159,71207,56317,VA and DOD data not included,2021/09/29 05:00:00+00
423,MultiCat Age Groups,16-18,80937,60260,49087,VA and DOD data not included,2021/09/29 05:00:00+00
424,MultiCat Age Groups,19-29,,219943,180796,VA and DOD data not included,2021/09/29 05:00:00+00
425,MultiCat Age Groups,30-39,,213437,181413,VA and DOD data not included,2021/09/29 05:00:00+00
426,MultiCat Age Groups,19-29,,210137,167636,VA and DOD data not included,2021/09/08 05:00:00+00
427,MultiCat Age Groups,40-49,,206839,178938,VA and DOD data not included,2021/09/29 05:00:00+00
428,MultiCat Age Groups,50-59,,200528,177292,VA and DOD data not included,2021/09/29 05:00:00+00
429,MultiCat Age Groups,60-64,,91097,81716,VA and DOD data not included,2021/09/29 05:00:00+00
430,MultiCat Age Groups,65-75,,151147,136214,VA and DOD data not included,2021/09/29 05:00:00+00
431,MultiCat Age Groups,76-85,,60417,53820,VA and DOD data not included,2021/09/29 05:00:00+00
432,MultiCat Age Groups,86-95,,19207,16792,VA and DOD data not included,2021/09/29 05:00:00+00
433,MultiCat Age Groups,96+,,1766,1440,VA and DOD data not included,2021/09/29 05:00:00+00
434,5Cat Age Groups,12+,1672349,1495293,1241938,VA and DOD data included,2021/10/06 05:00:00+00
435,5Cat Age Groups,16+,1552823,1424472,1185949,VA and DOD data included,2021/10/06 05:00:00+00
436,5Cat Age Groups,18+,1511890,1384551,1153389,VA and DOD data included,2021/10/06 05:00:00+00
437,5Cat Age Groups,18-49,898710,660512,557625,VA and DOD data included,2021/10/06 05:00:00+00
438,5Cat Age Groups,50-64,336785,310357,259070,"VA data included, DOD data not included",2021/10/06 05:00:00+00
439,5Cat Age Groups,65+,264903,264012,208582,"VA data included, DOD data not included",2021/10/06 05:00:00+00
440,Gender,Female,769303,704975,601643,"VA data included, DOD data not included",2021/10/06 05:00:00+00
441,Gender,Male,736913,654476,510060,"VA data included, DOD data not included",2021/10/06 05:00:00+00
442,Gender,Other,,208,185,"VA data included, DOD data not included",2021/10/06 05:00:00+00
443,Gender,Unknown,,2367,1938,"VA data included, DOD data not included",2021/10/06 05:00:00+00
444,Race/Ethnicity,Hispanic,906742,581640,486182,"VA data included, DOD data not included",2021/10/06 05:00:00+00
445,Race/Ethnicity,NH White,417222,380214,311993,"VA data included, DOD data not included",2021/10/06 05:00:00+00
446,Race/Ethnicity,NH Asian,43680,33336,29222,"VA data included, DOD data not included",2021/10/06 05:00:00+00
447,Race/Ethnicity,NH Black,115979,61603,43844,"VA data included, DOD data not included",2021/10/06 05:00:00+00
448,Race/Ethnicity,NH Other,24099,210991,178877,"VA data included, DOD data not included",2021/10/06 05:00:00+00
449,Race/Ethnicity,Unknown,,94242,63708,"VA data included, DOD data not included",2021/10/06 05:00:00+00
450,MultiCat Age Groups,15-Dec,109159,70821,55989,VA and DOD data not included,2021/10/06 05:00:00+00
451,MultiCat Age Groups,16-18,80937,60259,49098,VA and DOD data not included,2021/10/06 05:00:00+00
452,MultiCat Age Groups,19-29,,219925,180770,VA and DOD data not included,2021/10/06 05:00:00+00
453,MultiCat Age Groups,30-39,,213394,181355,VA and DOD data not included,2021/10/06 05:00:00+00
454,MultiCat Age Groups,40-49,,206855,178962,VA and DOD data not included,2021/10/06 05:00:00+00
455,MultiCat Age Groups,50-59,,200572,177317,VA and DOD data not included,2021/10/06 05:00:00+00
456,MultiCat Age Groups,60-64,,91128,81753,VA and DOD data not included,2021/10/06 05:00:00+00
457,MultiCat Age Groups,65-75,,151339,136390,VA and DOD data not included,2021/10/06 05:00:00+00
458,MultiCat Age Groups,76-85,,60530,53907,VA and DOD data not included,2021/10/06 05:00:00+00
459,MultiCat Age Groups,86-95,,19254,16839,VA and DOD data not included,2021/10/06 05:00:00+00
460,MultiCat Age Groups,30-39,,205832,170154,VA and DOD data not included,2021/09/08 05:00:00+00
461,MultiCat Age Groups,40-49,,201384,170566,VA and DOD data not included,2021/09/08 05:00:00+00
462,MultiCat Age Groups,50-59,,196553,171236,VA and DOD data not included,2021/09/08 05:00:00+00
463,MultiCat Age Groups,60-64,,89626,79478,VA and DOD data not included,2021/09/08 05:00:00+00
464,MultiCat Age Groups,65-75,,148578,133208,VA and DOD data not included,2021/09/08 05:00:00+00
465,MultiCat Age Groups,76-85,,59241,52625,VA and DOD data not included,2021/09/08 05:00:00+00
466,MultiCat Age Groups,86-95,,18759,16375,VA and DOD data not included,2021/09/08 05:00:00+00
467,MultiCat Age Groups,96+,,1724,1404,VA and DOD data not included,2021/09/08 05:00:00+00
468,5Cat Age Groups,12+,1672349,1458525,1191883,VA and DOD data included,2021/09/15 05:00:00+00
469,5Cat Age Groups,16+,1552823,1390301,1142493,VA and DOD data included,2021/09/15 05:00:00+00
470,5Cat Age Groups,18+,1511890,1351680,1112536,VA and DOD data included,2021/09/15 05:00:00+00
471,5Cat Age Groups,18-49,898710,641179,529821,VA and DOD data included,2021/09/15 05:00:00+00
472,5Cat Age Groups,50-64,336785,305720,252335,"VA data included, DOD data not included",2021/09/15 05:00:00+00
473,5Cat Age Groups,65+,264903,259869,204563,"VA data included, DOD data not included",2021/09/15 05:00:00+00
474,Gender,Female,769303,689443,577676,"VA data included, DOD data not included",2021/09/15 05:00:00+00
475,Gender,Male,736913,637791,486232,"VA data included, DOD data not included",2021/09/15 05:00:00+00
476,Gender,Other,,209,186,"VA data included, DOD data not included",2021/09/15 05:00:00+00
477,Race/Ethnicity,NH Other,24099,176718,139775,"VA data included, DOD data not included",2021/08/24 05:00:00+00
478,Gender,Unknown,,2419,1972,"VA data included, DOD data not included",2021/09/15 05:00:00+00
479,Race/Ethnicity,Hispanic,906742,572730,473916,"VA data included, DOD data not included",2021/09/15 05:00:00+00
480,Race/Ethnicity,NH White,417222,372619,299275,"VA data included, DOD data not included",2021/09/15 05:00:00+00
481,Race/Ethnicity,NH Asian,43680,33179,28858,"VA data included, DOD data not included",2021/09/15 05:00:00+00
482,Race/Ethnicity,NH Black,115979,60108,41937,"VA data included, DOD data not included",2021/09/15 05:00:00+00
483,Race/Ethnicity,NH Other,24099,193666,155903,"VA data included, DOD data not included",2021/09/15 05:00:00+00
484,Race/Ethnicity,Unknown,,97560,66177,"VA data included, DOD data not included",2021/09/15 05:00:00+00
485,MultiCat Age Groups,15-Dec,109159,68224,49390,VA and DOD data not included,2021/09/15 05:00:00+00
486,MultiCat Age Groups,16-18,80937,58318,45447,VA and DOD data not included,2021/09/15 05:00:00+00
487,MultiCat Age Groups,19-29,,211920,170012,VA and DOD data not included,2021/09/15 05:00:00+00
488,MultiCat Age Groups,30-39,,207185,172222,VA and DOD data not included,2021/09/15 05:00:00+00
489,MultiCat Age Groups,40-49,,202377,172097,VA and DOD data not included,2021/09/15 05:00:00+00
490,MultiCat Age Groups,50-59,,197344,172424,VA and DOD data not included,2021/09/15 05:00:00+00
491,MultiCat Age Groups,60-64,,89903,79911,VA and DOD data not included,2021/09/15 05:00:00+00
492,MultiCat Age Groups,65-75,,149073,133800,VA and DOD data not included,2021/09/15 05:00:00+00
493,MultiCat Age Groups,76-85,,59454,52868,VA and DOD data not included,2021/09/15 05:00:00+00
494,MultiCat Age Groups,86-95,,18855,16478,VA and DOD data not included,2021/09/15 05:00:00+00
495,MultiCat Age Groups,96+,,1736,1417,VA and DOD data not included,2021/09/15 05:00:00+00
496,5Cat Age Groups,12+,1672349,1483257,1226944,VA and DOD data included,2021/09/22 05:00:00+00
497,5Cat Age Groups,16+,1552823,1412549,1172098,VA and DOD data included,2021/09/22 05:00:00+00
498,5Cat Age Groups,18+,1511890,1372842,1140099,VA and DOD data included,2021/09/22 05:00:00+00
499,5Cat Age Groups,18-49,898710,655282,549746,VA and DOD data included,2021/09/22 05:00:00+00
500,5Cat Age Groups,50-64,336785,308844,257000,"VA data included, DOD data not included",2021/09/22 05:00:00+00
501,5Cat Age Groups,65+,264903,261689,206784,"VA data included, DOD data not included",2021/09/22 05:00:00+00
502,Gender,Female,769303,700608,594935,"VA data included, DOD data not included",2021/09/22 05:00:00+00
503,Gender,Male,736913,649260,503293,"VA data included, DOD data not included",2021/09/22 05:00:00+00
504,Gender,Other,,210,187,"VA data included, DOD data not included",2021/09/22 05:00:00+00
505,Gender,Unknown,,2401,1960,"VA data included, DOD data not included",2021/09/22 05:00:00+00
506,Race/Ethnicity,Hispanic,906742,576399,479572,"VA data included, DOD data not included",2021/09/22 05:00:00+00
507,Race/Ethnicity,NH White,417222,380339,310978,"VA data included, DOD data not included",2021/09/22 05:00:00+00
508,Race/Ethnicity,NH Asian,43680,33348,29202,"VA data included, DOD data not included",2021/09/22 05:00:00+00
509,Race/Ethnicity,NH Black,115979,61180,43357,"VA data included, DOD data not included",2021/09/22 05:00:00+00
510,Race/Ethnicity,NH Other,24099,205471,172308,"VA data included, DOD data not included",2021/09/22 05:00:00+00
511,Race/Ethnicity,Unknown,,95742,64958,"VA data included, DOD data not included",2021/09/22 05:00:00+00
512,MultiCat Age Groups,15-Dec,109159,70708,54846,VA and DOD data not included,2021/09/22 05:00:00+00
513,MultiCat Age Groups,16-18,80937,59864,48264,VA and DOD data not included,2021/09/22 05:00:00+00
514,MultiCat Age Groups,19-29,,217784,177668,VA and DOD data not included,2021/09/22 05:00:00+00
515,MultiCat Age Groups,30-39,,211694,178823,VA and DOD data not included,2021/09/22 05:00:00+00
516,MultiCat Age Groups,40-49,,205647,176990,VA and DOD data not included,2021/09/22 05:00:00+00
517,MultiCat Age Groups,50-59,,199644,175869,VA and DOD data not included,2021/09/22 05:00:00+00
518,Race/Ethnicity,Unknown,,95701,66877,"VA data included, DOD data not included",2021/08/24 05:00:00+00
519,MultiCat Age Groups,15-Dec,109159,62685,41566,VA and DOD data not included,2021/08/24 05:00:00+00
520,MultiCat Age Groups,16-18,80937,55068,41295,VA and DOD data not included,2021/08/24 05:00:00+00
521,MultiCat Age Groups,19-29,,202025,159379,VA and DOD data not included,2021/08/24 05:00:00+00
522,MultiCat Age Groups,30-39,,199140,162792,VA and DOD data not included,2021/08/24 05:00:00+00
523,MultiCat Age Groups,40-49,,196353,164896,VA and DOD data not included,2021/08/24 05:00:00+00
524,MultiCat Age Groups,50-59,,193156,167169,VA and DOD data not included,2021/08/24 05:00:00+00
525,MultiCat Age Groups,60-64,,88352,77965,VA and DOD data not included,2021/08/24 05:00:00+00
526,MultiCat Age Groups,65-75,,146669,131206,VA and DOD data not included,2021/08/24 05:00:00+00
527,MultiCat Age Groups,76-85,,58497,51876,VA and DOD data not included,2021/08/24 05:00:00+00
528,MultiCat Age Groups,86-95,,18486,16087,VA and DOD data not included,2021/08/24 05:00:00+00
529,MultiCat Age Groups,96+,,1672,1363,VA and DOD data not included,2021/08/24 05:00:00+00
530,5Cat Age Groups,12+,1672349,1435702,1162982,VA and DOD data included,2021/09/01 05:00:00+00
531,5Cat Age Groups,16+,1552823,1369260,1117286,VA and DOD data included,2021/09/01 05:00:00+00
532,5Cat Age Groups,18+,1511890,1331463,1088793,VA and DOD data included,2021/09/01 05:00:00+00
533,5Cat Age Groups,18-49,898710,631131,515432,VA and DOD data included,2021/09/01 05:00:00+00
534,5Cat Age Groups,50-64,336785,302725,248728,"VA data included, DOD data not included",2021/09/01 05:00:00+00
535,5Cat Age Groups,65+,264903,257519,202518,"VA data included, DOD data not included",2021/09/01 05:00:00+00
536,Gender,Female,769303,680893,565129,"VA data included, DOD data not included",2021/09/01 05:00:00+00
537,Gender,Male,736913,627580,473572,"VA data included, DOD data not included",2021/09/01 05:00:00+00
538,Gender,Other,,210,186,"VA data included, DOD data not included",2021/09/01 05:00:00+00
539,Gender,Unknown,,2453,2003,"VA data included, DOD data not included",2021/09/01 05:00:00+00
540,Race/Ethnicity,Hispanic,906742,560378,457662,"VA data included, DOD data not included",2021/09/01 05:00:00+00
541,Race/Ethnicity,NH White,417222,372709,298602,"VA data included, DOD data not included",2021/09/01 05:00:00+00
542,Race/Ethnicity,NH Asian,43680,33255,28780,"VA data included, DOD data not included",2021/09/01 05:00:00+00
543,Race/Ethnicity,NH Black,115979,59137,40925,"VA data included, DOD data not included",2021/09/01 05:00:00+00
544,Race/Ethnicity,NH Other,24099,187395,148395,"VA data included, DOD data not included",2021/09/01 05:00:00+00
545,Race/Ethnicity,Unknown,,98262,66526,"VA data included, DOD data not included",2021/09/01 05:00:00+00
546,MultiCat Age Groups,15-Dec,109159,66442,45696,VA and DOD data not included,2021/09/01 05:00:00+00
547,MultiCat Age Groups,16-18,80937,57159,43479,VA and DOD data not included,2021/09/01 05:00:00+00
548,MultiCat Age Groups,19-29,,207765,164587,VA and DOD data not included,2021/09/01 05:00:00+00
549,MultiCat Age Groups,30-39,,203949,167375,VA and DOD data not included,2021/09/01 05:00:00+00
550,MultiCat Age Groups,40-49,,200055,168484,VA and DOD data not included,2021/09/01 05:00:00+00
551,MultiCat Age Groups,50-59,,195563,169800,VA and DOD data not included,2021/09/01 05:00:00+00
552,MultiCat Age Groups,60-64,,89256,78928,VA and DOD data not included,2021/09/01 05:00:00+00
553,MultiCat Age Groups,65-75,,147954,132505,VA and DOD data not included,2021/09/01 05:00:00+00
554,MultiCat Age Groups,76-85,,58973,52345,VA and DOD data not included,2021/09/01 05:00:00+00
555,MultiCat Age Groups,86-95,,18666,16281,VA and DOD data not included,2021/09/01 05:00:00+00
556,MultiCat Age Groups,96+,,1703,1387,VA and DOD data not included,2021/09/01 05:00:00+00
557,5Cat Age Groups,12+,1672349,1446335,1178034,VA and DOD data included,2021/09/08 05:00:00+00
558,5Cat Age Groups,16+,1552823,1378798,1130123,VA and DOD data included,2021/09/08 05:00:00+00
559,5Cat Age Groups,18+,1511890,1340548,1100752,VA and DOD data included,2021/09/08 05:00:00+00
560,5Cat Age Groups,18-49,898710,636926,523661,VA and DOD data included,2021/09/08 05:00:00+00
561,5Cat Age Groups,50-64,336785,304295,250714,"VA data included, DOD data not included",2021/09/08 05:00:00+00
562,5Cat Age Groups,65+,264903,258722,203612,"VA data included, DOD data not included",2021/09/08 05:00:00+00
563,Gender,Female,769303,685728,572300,"VA data included, DOD data not included",2021/09/08 05:00:00+00
564,Gender,Male,736913,633141,480794,"VA data included, DOD data not included",2021/09/08 05:00:00+00
565,Gender,Other,,209,186,"VA data included, DOD data not included",2021/09/08 05:00:00+00
566,Gender,Unknown,,2436,1989,"VA data included, DOD data not included",2021/09/08 05:00:00+00
567,Race/Ethnicity,Hispanic,906742,567327,466919,"VA data included, DOD data not included",2021/09/08 05:00:00+00
568,Race/Ethnicity,NH White,417222,373007,299503,"VA data included, DOD data not included",2021/09/08 05:00:00+00
569,Race/Ethnicity,NH Asian,43680,33260,28855,"VA data included, DOD data not included",2021/09/08 05:00:00+00
570,Race/Ethnicity,NH Black,115979,59650,41540,"VA data included, DOD data not included",2021/09/08 05:00:00+00
571,Race/Ethnicity,NH Other,24099,190324,152074,"VA data included, DOD data not included",2021/09/08 05:00:00+00
572,Race/Ethnicity,Unknown,,97946,66378,"VA data included, DOD data not included",2021/09/08 05:00:00+00
573,MultiCat Age Groups,15-Dec,109159,67537,47911,VA and DOD data not included,2021/09/08 05:00:00+00
574,MultiCat Age Groups,16-18,80937,57823,44676,VA and DOD data not included,2021/09/08 05:00:00+00
575,MultiCat Age Groups,96+,,1774,1446,VA and DOD data not included,2021/10/06 05:00:00+00
576,5Cat Age Groups,12+,1672349,1516675,1263881,VA and DOD data included,2021/10/13 05:00:00+00
577,5Cat Age Groups,16+,1552823,1444434,1205682,VA and DOD data included,2021/10/13 05:00:00+00
578,5Cat Age Groups,18+,1511890,1403827,1172217,VA and DOD data included,2021/10/13 05:00:00+00
579,5Cat Age Groups,18-49,898710,670366,569869,VA and DOD data included,2021/10/13 05:00:00+00
580,5Cat Age Groups,50-64,336785,313262,262489,"VA data included, DOD data not included",2021/10/13 05:00:00+00
581,5Cat Age Groups,65+,264903,268902,211536,"VA data included, DOD data not included",2021/10/13 05:00:00+00
582,Gender,Female,769303,714443,612606,"VA data included, DOD data not included",2021/10/13 05:00:00+00
583,Gender,Male,736913,664688,520915,"VA data included, DOD data not included",2021/10/13 05:00:00+00
584,Gender,Other,,206,183,"VA data included, DOD data not included",2021/10/13 05:00:00+00
585,Gender,Unknown,,2290,1854,"VA data included, DOD data not included",2021/10/13 05:00:00+00
586,Race/Ethnicity,Hispanic,906742,589403,494743,"VA data included, DOD data not included",2021/10/13 05:00:00+00
587,Race/Ethnicity,NH White,417222,379897,312428,"VA data included, DOD data not included",2021/10/13 05:00:00+00
588,Race/Ethnicity,NH Asian,43680,33058,28936,"VA data included, DOD data not included",2021/10/13 05:00:00+00
589,Race/Ethnicity,NH Black,115979,62235,44541,"VA data included, DOD data not included",2021/10/13 05:00:00+00
590,Race/Ethnicity,NH Other,24099,227682,195351,"VA data included, DOD data not included",2021/10/13 05:00:00+00
591,Race/Ethnicity,Unknown,,89352,59559,"VA data included, DOD data not included",2021/10/13 05:00:00+00
592,MultiCat Age Groups,15-Dec,109159,72241,58199,VA and DOD data not included,2021/10/13 05:00:00+00
