ObjectId,Category,Category_Description,General_Population,At_Least_One_Dose,Fully_Vaccinated,Note,Date
105,MultiCat Age Groups,96+,,1603,1302,VA and DOD data not included,2021/07/27 05:00:00+00
106,5Cat Age Groups,12+,1672349,1307836,1068392,VA and DOD data included,2021/08/03 05:00:00+00
107,5Cat Age Groups,16+,1552823,1256992,1034326,VA and DOD data included,2021/08/03 05:00:00+00
108,5Cat Age Groups,18+,1511890,1225147,1010149,VA and DOD data included,2021/08/03 05:00:00+00
109,5Cat Age Groups,18-49,898710,570368,474208,VA and DOD data included,2021/08/03 05:00:00+00
110,5Cat Age Groups,50-64,336785,283854,236456,"VA data included, DOD data not included",2021/08/03 05:00:00+00
111,5Cat Age Groups,65+,264903,244497,195902,"VA data included, DOD data not included",2021/08/03 05:00:00+00
112,Gender,Female,769303,627803,527138,"VA data included, DOD data not included",2021/08/03 05:00:00+00
113,Gender,Male,736913,560627,435491,"VA data included, DOD data not included",2021/08/03 05:00:00+00
114,Gender,Other,,212,186,"VA data included, DOD data not included",2021/08/03 05:00:00+00
115,Gender,Unknown,,2439,2010,"VA data included, DOD data not included",2021/08/03 05:00:00+00
116,Race/Ethnicity,Hispanic,906742,513498,422960,"VA data included, DOD data not included",2021/08/03 05:00:00+00
117,Race/Ethnicity,NH White,417222,341413,282030,"VA data included, DOD data not included",2021/08/03 05:00:00+00
118,Race/Ethnicity,NH Asian,43680,31903,27629,"VA data included, DOD data not included",2021/08/03 05:00:00+00
119,Race/Ethnicity,NH Black,115979,52217,37464,"VA data included, DOD data not included",2021/08/03 05:00:00+00
120,Race/Ethnicity,NH Other,24099,156351,127931,"VA data included, DOD data not included",2021/08/03 05:00:00+00
121,Race/Ethnicity,Unknown,,95699,66811,"VA data included, DOD data not included",2021/08/03 05:00:00+00
122,MultiCat Age Groups,15-Dec,,50844,34066,VA and DOD data not included,2021/08/03 05:00:00+00
123,MultiCat Age Groups,16-18,,48784,37490,VA and DOD data not included,2021/08/03 05:00:00+00
124,MultiCat Age Groups,19-29,,184270,149538,VA and DOD data not included,2021/08/03 05:00:00+00
125,MultiCat Age Groups,30-39,,184020,153852,VA and DOD data not included,2021/08/03 05:00:00+00
126,MultiCat Age Groups,40-49,,185139,157505,VA and DOD data not included,2021/08/03 05:00:00+00
127,MultiCat Age Groups,50-59,,184971,160839,VA and DOD data not included,2021/08/03 05:00:00+00
128,MultiCat Age Groups,60-64,,85484,75617,VA and DOD data not included,2021/08/03 05:00:00+00
129,MultiCat Age Groups,65-75,,143175,128125,VA and DOD data not included,2021/08/03 05:00:00+00
130,MultiCat Age Groups,76-85,,57257,50785,VA and DOD data not included,2021/08/03 05:00:00+00
131,MultiCat Age Groups,86-95,,18013,15673,VA and DOD data not included,2021/08/03 05:00:00+00
132,MultiCat Age Groups,96+,,1622,1319,VA and DOD data not included,2021/08/03 05:00:00+00
133,5Cat Age Groups,12+,1672349,1332664,1078624,VA and DOD data included,2021/08/10 05:00:00+00
134,5Cat Age Groups,16+,1552823,1278252,1043122,VA and DOD data included,2021/08/10 05:00:00+00
135,5Cat Age Groups,18+,1511890,1244978,1018475,VA and DOD data included,2021/08/10 05:00:00+00
136,5Cat Age Groups,18-49,898710,585002,479476,VA and DOD data included,2021/08/10 05:00:00+00
137,5Cat Age Groups,50-64,336785,287082,238056,"VA data included, DOD data not included",2021/08/10 05:00:00+00
138,5Cat Age Groups,65+,264903,246466,197360,"VA data included, DOD data not included",2021/08/10 05:00:00+00
139,Gender,Female,769303,639707,532237,"VA data included, DOD data not included",2021/08/10 05:00:00+00
140,Gender,Male,736913,573532,440622,"VA data included, DOD data not included",2021/08/10 05:00:00+00
141,Gender,Other,,212,186,"VA data included, DOD data not included",2021/08/10 05:00:00+00
142,Gender,Unknown,,2459,2011,"VA data included, DOD data not included",2021/08/10 05:00:00+00
143,Race/Ethnicity,Hispanic,906742,525066,427975,"VA data included, DOD data not included",2021/08/10 05:00:00+00
144,Race/Ethnicity,NH White,417222,346715,284037,"VA data included, DOD data not included",2021/08/10 05:00:00+00
145,Race/Ethnicity,NH Asian,43680,32149,27818,"VA data included, DOD data not included",2021/08/10 05:00:00+00
146,Race/Ethnicity,NH Black,115979,53401,37996,"VA data included, DOD data not included",2021/08/10 05:00:00+00
